attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
40030,New York Mets,Night Game,Kansas City Royals,Kauffman Stadium,Sunday,Sunny,7,3.216666667,regular,Win
21621,Philadelphia Phillies,Night Game,Cincinnati Reds,Great American Ball Park,Wednesday,Overcast,5,2.383333333,regular,Win
12622,Minnesota Twins,Night Game,Baltimore Orioles,Oriole Park at Camden Yard,Wednesday,Unknown,6,3.183333333,regular,Win
18531,Washington Nationals,Night Game,Atlanta Braves,Turner Field,Wednesday,Cloudy,4,2.883333333,regular,Loss
18572,Colorado Rockies,Day Game,Arizona Diamondbacks,Chase Field,Wednesday,In Dome,7,2.65,regular,Loss
28386,Seattle Mariners,Night Game,Texas Rangers,Globe Life Park in Arlington,Tuesday,Cloudy,12,3.5,regular,Loss
12757,Toronto Blue Jays,Night Game,Tampa Bay Rays,Tropicana Field,Tuesday,In Dome,5,3.116666667,regular,Win
28329,Los Angeles Dodgers,Night Game,San Diego Padres,Petco Park,Tuesday,Unknown,3,2.6,regular,Loss
26049,St. Louis Cardinals,Night Game,Pittsburgh Pirates,PNC Park,Tuesday,Sunny,11,3.45,regular,Win
10478,Chicago White Sox,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Tuesday,Cloudy,9,3.466666667,regular,Loss
47820,Houston Astros,Day Game,New York Yankees,Yankee Stadium III,Tuesday,Sunny,8,3.283333333,regular,Loss
24123,San Francisco Giants,Night Game,Milwaukee Brewers,Miller Park,Tuesday,In Dome,3,2.483333333,regular,Loss
36911,Detroit Tigers,Night Game,Miami Marlins,Marlins Park,Tuesday,Sunny,15,3.783333333,regular,Loss
13468,Texas Rangers,Night Game,Seattle Mariners,Safeco Field,Monday,Unknown,10,3,regular,Loss
45229,San Diego Padres,Day Game,Philadelphia Phillies,Citizens Bank Park,Monday,Unknown,7,2.85,regular,Loss
13371,Los Angeles Angels of Anaheim,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Monday,Cloudy,5,3.083333333,regular,Loss
24318,Miami Marlins,Night Game,New York Mets,Citi Field,Monday,Unknown,13,3.75,regular,Loss
40638,Chicago White Sox,Day Game,Minnesota Twins,Target Field,Monday,Cloudy,5,3.083333333,regular,Loss
43332,Kansas City Royals,Night Game,Houston Astros,Minute Maid Park,Monday,In Dome,10,2.983333333,regular,Win
26271,Pittsburgh Pirates,Day Game,Detroit Tigers,Comerica Park,Monday,Overcast,11,3.283333333,regular,Loss
40882,Cincinnati Reds,Night Game,Chicago Cubs,Wrigley Field,Monday,Cloudy,8,3.05,regular,Win
21203,Kansas City Royals,Night Game,Houston Astros,Minute Maid Park,Thursday,Cloudy,8,2.683333333,regular,Loss
21226,San Francisco Giants,Day Game,Colorado Rockies,Coors Field,Thursday,Cloudy,17,3.433333333,regular,Win
34898,Cincinnati Reds,Night Game,Chicago Cubs,Wrigley Field,Thursday,Sunny,9,3.116666667,regular,Win
19400,Atlanta Braves,Night Game,Washington Nationals,Nationals Park,Wednesday,Sunny,3,2.2,regular,Win
27938,New York Yankees,Night Game,Toronto Blue Jays,Rogers Centre,Wednesday,In Dome,9,2.716666667,regular,Win
16783,Toronto Blue Jays,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Tuesday,Sunny,7,2.833333333,regular,Loss
14160,Los Angeles Dodgers,Night Game,Atlanta Braves,Turner Field,Tuesday,Unknown,9,2.95,regular,Win
45432,Chicago Cubs,Night Game,St. Louis Cardinals,Busch Stadium III,Monday,Unknown,5,2.533333333,regular,Loss
41432,Arizona Diamondbacks,Night Game,San Francisco Giants,AT&T Park,Monday,Cloudy,16,4.583333333,regular,Loss
21585,New York Mets,Night Game,Philadelphia Phillies,Citizens Bank Park,Monday,Sunny,7,2.85,regular,Loss
21078,Milwaukee Brewers,Night Game,Minnesota Twins,Target Field,Monday,Unknown,11,2.35,regular,Win
16112,Washington Nationals,Night Game,Miami Marlins,Marlins Park,Monday,In Dome,7,2.716666667,regular,Win
12777,Colorado Rockies,Night Game,Cincinnati Reds,Great American Ball Park,Monday,Sunny,6,2.683333333,regular,Loss
14706,Los Angeles Angels of Anaheim,Night Game,Chicago White Sox,U.S. Cellular Field,Monday,Unknown,7,2.966666667,regular,Loss
37168,Toronto Blue Jays,Day Game,Boston Red Sox,Fenway Park,Monday,Cloudy,7,3.2,regular,Loss
21810,Chicago White Sox,Day Game,Tampa Bay Rays,Tropicana Field,Sunday,In Dome,5,2.6,regular,Win
46268,Cincinnati Reds,Day Game,St. Louis Cardinals,Busch Stadium III,Sunday,Cloudy,7,2.733333333,regular,Win
16497,Chicago Cubs,Night Game,Cincinnati Reds,Great American Ball Park,Thursday,Overcast,16,2.933333333,regular,Loss
24333,Chicago White Sox,Night Game,Toronto Blue Jays,Rogers Centre,Monday,In Dome,12,3.4,regular,Loss
31453,New York Yankees,Night Game,Texas Rangers,Globe Life Park in Arlington,Monday,Cloudy,4,2.766666667,regular,Loss
12996,Baltimore Orioles,Night Game,Tampa Bay Rays,Tropicana Field,Monday,In Dome,2,2.616666667,regular,Win
41266,San Diego Padres,Night Game,San Francisco Giants,AT&T Park,Monday,Sunny,9,3.783333333,regular,Win
14832,Houston Astros,Night Game,Seattle Mariners,Safeco Field,Monday,Cloudy,5,2.666666667,regular,Win
30250,Cincinnati Reds,Night Game,New York Mets,Citi Field,Monday,Cloudy,8,3.183333333,regular,Win
17503,Cleveland Indians,Night Game,Minnesota Twins,Target Field,Monday,Overcast,7,3.4,regular,Win
44954,Miami Marlins,Night Game,Los Angeles Dodgers,Dodger Stadium,Monday,Sunny,5,2.85,regular,Loss
21671,Oakland Athletics,Night Game,Detroit Tigers,Comerica Park,Monday,Unknown,10,2.65,regular,Win
20674,Pittsburgh Pirates,Night Game,Colorado Rockies,Coors Field,Monday,Unknown,7,2.983333333,regular,Loss
22735,Boston Red Sox,Night Game,Atlanta Braves,Turner Field,Monday,Cloudy,1,2.916666667,regular,Loss
18208,St. Louis Cardinals,Night Game,Arizona Diamondbacks,Chase Field,Monday,In Dome,19,3.433333333,regular,Win
41357,San Diego Padres,Day Game,San Francisco Giants,AT&T Park,Wednesday,Overcast,22,3.35,regular,Win
27217,Toronto Blue Jays,Day Game,Tampa Bay Rays,Tropicana Field,Sunday,In Dome,6,2.566666667,regular,Loss
42933,Washington Nationals,Day Game,St. Louis Cardinals,Busch Stadium III,Sunday,Cloudy,7,2.783333333,regular,Loss
37053,Kansas City Royals,Day Game,Seattle Mariners,Safeco Field,Sunday,Sunny,5,3.233333333,regular,Loss
28755,Cincinnati Reds,Day Game,Pittsburgh Pirates,PNC Park,Sunday,Unknown,11,3.7,regular,Loss
23809,Cleveland Indians,Day Game,Philadelphia Phillies,Citizens Bank Park,Sunday,Overcast,3,2.666666667,regular,Win
24135,Houston Astros,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Sunday,Sunny,3,2.833333333,regular,Loss
39077,San Francisco Giants,Day Game,New York Mets,Citi Field,Sunday,Drizzle,7,3.316666667,regular,Loss
24749,Detroit Tigers,Day Game,Minnesota Twins,Target Field,Sunday,Cloudy,11,3.55,regular,Loss
28181,Miami Marlins,Day Game,Milwaukee Brewers,Miller Park,Sunday,In Dome,19,3.35,regular,Win
